,numExp,stick1,stick2,judge,agentBias,nSticks,p_isLong_1,p_isLong_2,delta
381,190,0.8,0.3,J1,2.0,4.0,0.6389704908378837,0.7113253839444595,0.07235489310657583
382,191,0.8,0.3,J0,2.0,5.0,0.6702265319159395,0.588805970149254,-0.08142056176668555
383,191,0.8,0.3,J1,2.0,5.0,0.6266505978326146,0.6636875490696353,0.037036951237020777
384,192,0.8,0.3,J0,5.0,3.0,0.7462235649546827,0.6499999999999999,-0.09622356495468276
385,192,0.8,0.3,J1,5.0,3.0,0.6354229328899349,0.8277068351125072,0.1922839022225723
386,193,0.8,0.3,J0,5.0,4.0,0.7013574660633481,0.6173044925124791,-0.08405297355086905
387,193,0.8,0.3,J1,5.0,4.0,0.5788024821664572,0.7687484678138722,0.18994598564741494
388,194,0.8,0.3,J0,5.0,5.0,0.6702265319159395,0.588805970149254,-0.08142056176668555
389,194,0.8,0.3,J1,5.0,5.0,0.5584570172562893,0.7076996236653736,0.14924260640908438
390,195,0.8,0.3,J0,10.0,3.0,0.7462235649546827,0.6499999999999999,-0.09622356495468276
391,195,0.8,0.3,J1,10.0,3.0,0.6297757955243567,0.8815725617393221,0.2517967662149654
392,196,0.8,0.3,J0,10.0,4.0,0.7013574660633481,0.6173044925124791,-0.08405297355086905
393,196,0.8,0.3,J1,10.0,4.0,0.5442369171110919,0.8351603129934941,0.29092339588240224
394,197,0.8,0.3,J0,10.0,5.0,0.6702265319159395,0.588805970149254,-0.08142056176668555
395,197,0.8,0.3,J1,10.0,5.0,0.5031583753350134,0.783608253428967,0.2804498780939536
396,198,0.8,0.4,J0,2.0,3.0,0.7462235649546827,0.7000000000000002,-0.046223564954682494
397,198,0.8,0.4,J1,2.0,3.0,0.6675807614893962,0.8631309129106348,0.19555015142123866
398,199,0.8,0.4,J0,2.0,4.0,0.7013574660633481,0.6788685524126453,-0.022488913650702824
399,199,0.8,0.4,J1,2.0,4.0,0.6389704908378837,0.7972702702867429,0.1582997794488592
400,200,0.8,0.4,J0,2.0,5.0,0.6702265319159395,0.6400497512437813,-0.030176780672158232
401,200,0.8,0.4,J1,2.0,5.0,0.6266505978326146,0.734159566526929,0.10750896869431448
402,201,0.8,0.4,J0,5.0,3.0,0.7462235649546827,0.7000000000000002,-0.046223564954682494
403,201,0.8,0.4,J1,5.0,3.0,0.6354229328899349,0.9584034080232964,0.3229804751333615
404,202,0.8,0.4,J0,5.0,4.0,0.7013574660633481,0.6788685524126453,-0.022488913650702824
405,202,0.8,0.4,J1,5.0,4.0,0.5788024821664572,0.8929206141804682,0.31411813201401095
406,203,0.8,0.4,J0,5.0,5.0,0.6702265319159395,0.6400497512437813,-0.030176780672158232
407,203,0.8,0.4,J1,5.0,5.0,0.5584570172562893,0.8108371683741171,0.25238015111782786
408,204,0.8,0.4,J0,10.0,3.0,0.7462235649546827,0.7000000000000002,-0.046223564954682494
409,204,0.8,0.4,J1,10.0,3.0,0.6297757955243567,0.9953266107116839,0.36555081518732724
410,205,0.8,0.4,J0,10.0,4.0,0.7013574660633481,0.6788685524126453,-0.022488913650702824
411,205,0.8,0.4,J1,10.0,4.0,0.5442369171110919,0.9687658678559758,0.42452895074488395
412,206,0.8,0.4,J0,10.0,5.0,0.6702265319159395,0.6400497512437813,-0.030176780672158232
413,206,0.8,0.4,J1,10.0,5.0,0.5031583753350134,0.917896565515562,0.4147381901805486
414,207,0.8,0.5,J0,2.0,3.0,0.7462235649546827,0.8,0.05377643504531737
415,207,0.8,0.5,J1,2.0,3.0,0.6675807614893962,0.953019755981117,0.28543899449172083
416,208,0.8,0.5,J0,2.0,4.0,0.7013574660633481,0.7404326123128118,0.03907514624946362
417,208,0.8,0.5,J1,2.0,4.0,0.6389704908378837,0.8692060484492998,0.23023555761141612
418,209,0.8,0.5,J0,2.0,5.0,0.6702265319159395,0.6947263681592045,0.024499836243265016
419,209,0.8,0.5,J1,2.0,5.0,0.6266505978326146,0.7995863286823963,0.17293573084978175
420,210,0.8,0.5,J0,5.0,3.0,0.7462235649546827,0.8,0.05377643504531737
421,210,0.8,0.5,J1,5.0,3.0,0.6354229328899349,0.9973260074261939,0.36190307453625903
422,211,0.8,0.5,J0,5.0,4.0,0.7013574660633481,0.7404326123128118,0.03907514624946362
423,211,0.8,0.5,J1,5.0,4.0,0.5788024821664572,0.9625855366140115,0.38378305444755423
424,212,0.8,0.5,J0,5.0,5.0,0.6702265319159395,0.6947263681592045,0.024499836243265016
425,212,0.8,0.5,J1,5.0,5.0,0.5584570172562893,0.892152760632514,0.33369574337622476
426,213,0.8,0.5,J0,10.0,3.0,0.7462235649546827,0.8,0.05377643504531737
427,213,0.8,0.5,J1,10.0,3.0,0.6297757955243567,0.9999846906511222,0.37020889512676547
428,214,0.8,0.5,J0,10.0,4.0,0.7013574660633481,0.7404326123128118,0.03907514624946362
429,214,0.8,0.5,J1,10.0,4.0,0.5442369171110919,0.9971836749776114,0.4529467578665195
430,215,0.8,0.5,J0,10.0,5.0,0.6702265319159395,0.6947263681592045,0.024499836243265016
431,215,0.8,0.5,J1,10.0,5.0,0.5031583753350134,0.978817916992601,0.4756595416575876
432,216,0.9,0.0,J0,2.0,3.0,0.809667673716012,0.45,-0.359667673716012
433,216,0.9,0.0,J1,2.0,3.0,0.7481913754569883,0.4355730932021185,-0.3126182822548698
434,217,0.9,0.0,J0,2.0,4.0,0.755656108597285,0.4625623960066556,-0.29309371259062944
435,217,0.9,0.0,J1,2.0,4.0,0.7073792029140026,0.4752676223908644,-0.23211158052313818
436,218,0.9,0.0,J0,2.0,5.0,0.7177114215983365,0.4703980099502487,-0.24731341164808773
437,218,0.9,0.0,J1,2.0,5.0,0.685463823652536,0.4973555901217533,-0.1881082335307827
438,219,0.9,0.0,J0,5.0,3.0,0.809667673716012,0.45,-0.359667673716012
439,219,0.9,0.0,J1,5.0,3.0,0.7455083004967151,0.3836875062172078,-0.3618207942795073
440,220,0.9,0.0,J0,5.0,4.0,0.755656108597285,0.4625623960066556,-0.29309371259062944
441,220,0.9,0.0,J1,5.0,4.0,0.6749104385487755,0.40670468066632975,-0.26820575788244577
442,221,0.9,0.0,J0,5.0,5.0,0.7177114215983365,0.4703980099502487,-0.24731341164808773
443,221,0.9,0.0,J1,5.0,5.0,0.6387229213954583,0.43510819633601666,-0.20361472505944161
444,222,0.9,0.0,J0,10.0,3.0,0.809667673716012,0.45,-0.359667673716012
445,222,0.9,0.0,J1,10.0,3.0,0.7611295751510175,0.3842479725731194,-0.37688160257789816
446,223,0.9,0.0,J0,10.0,4.0,0.755656108597285,0.4625623960066556,-0.29309371259062944
447,223,0.9,0.0,J1,10.0,4.0,0.6770533669614787,0.37782450951395985,-0.2992288574475188
448,224,0.9,0.0,J0,10.0,5.0,0.7177114215983365,0.4703980099502487,-0.24731341164808773
449,224,0.9,0.0,J1,10.0,5.0,0.6251030905655667,0.3899444143438621,-0.23515867622170455
450,225,0.9,0.1,J0,2.0,3.0,0.809667673716012,0.55,-0.25966767371601196
451,225,0.9,0.1,J1,2.0,3.0,0.7481913754569883,0.5749676483261186,-0.17322372713086975
452,226,0.9,0.1,J0,2.0,4.0,0.755656108597285,0.5474209650582361,-0.20823514353904893
453,226,0.9,0.1,J1,2.0,4.0,0.7073792029140026,0.5908322494829237,-0.1165469534310789
454,227,0.9,0.1,J0,2.0,5.0,0.7177114215983365,0.5347761194029854,-0.18293530219535103
455,227,0.9,0.1,J1,2.0,5.0,0.685463823652536,0.5817607655688348,-0.10370305808370117
456,228,0.9,0.1,J0,5.0,3.0,0.809667673716012,0.55,-0.25966767371601196
457,228,0.9,0.1,J1,5.0,3.0,0.7455083004967151,0.5404036850702992,-0.2051046154264159
458,229,0.9,0.1,J0,5.0,4.0,0.755656108597285,0.5474209650582361,-0.20823514353904893
459,229,0.9,0.1,J1,5.0,4.0,0.6749104385487755,0.5568608834867447,-0.11804955506203085
460,230,0.9,0.1,J0,5.0,5.0,0.7177114215983365,0.5347761194029854,-0.18293530219535103
461,230,0.9,0.1,J1,5.0,5.0,0.6387229213954583,0.5562069857976679,-0.08251593559779036
462,231,0.9,0.1,J0,10.0,3.0,0.809667673716012,0.55,-0.25966767371601196
463,231,0.9,0.1,J1,10.0,3.0,0.7611295751510175,0.5506541504947744,-0.21047542465624314
464,232,0.9,0.1,J0,10.0,4.0,0.755656108597285,0.5474209650582361,-0.20823514353904893
465,232,0.9,0.1,J1,10.0,4.0,0.6770533669614787,0.5559916744039223,-0.12106169255755639
466,233,0.9,0.1,J0,10.0,5.0,0.7177114215983365,0.5347761194029854,-0.18293530219535103
467,233,0.9,0.1,J1,10.0,5.0,0.6251030905655667,0.5463321013612376,-0.07877098920432912
468,234,0.9,0.2,J0,2.0,3.0,0.809667673716012,0.65,-0.15966767371601198
469,234,0.9,0.2,J1,2.0,3.0,0.7481913754569883,0.7293968064040557,-0.01879456905293264
470,235,0.9,0.2,J0,2.0,4.0,0.755656108597285,0.6106489184692179,-0.14500719012806718
471,235,0.9,0.2,J1,2.0,4.0,0.7073792029140026,0.6866047887231068,-0.020774414190895762
472,236,0.9,0.2,J0,2.0,5.0,0.7177114215983365,0.5938805970149259,-0.12383082458341055
473,236,0.9,0.2,J1,2.0,5.0,0.685463823652536,0.6625295777961708,-0.022934245856365165
474,237,0.9,0.2,J0,5.0,3.0,0.809667673716012,0.65,-0.15966767371601198
475,237,0.9,0.2,J1,5.0,3.0,0.7455083004967151,0.7649204377702429,0.019412137273527752
476,238,0.9,0.2,J0,5.0,4.0,0.755656108597285,0.6106489184692179,-0.14500719012806718
477,238,0.9,0.2,J1,5.0,4.0,0.6749104385487755,0.7005462529133919,0.02563581436461637
478,239,0.9,0.2,J0,5.0,5.0,0.7177114215983365,0.5938805970149259,-0.12383082458341055
