numExp,nSticks,stick1,stick2,p_isLong_1_L0,p_isLong_2_L0,p_isLong_1_L1,p_isLong_2_L1,isWEE,WEE
100,4,0.525,0.475,0.5304437564499487,0.5163398692810458,0.10385573178123644,0.6858679649689565,True,0.596116120356623
101,4,0.525,0.425,0.5304437564499487,0.47058823529411753,0.10385573178123644,0.5011821575039144,True,0.4571819468785091
102,4,0.525,0.375,0.5304437564499487,0.43137254901960775,0.10385573178123644,0.3654627185904572,True,0.3606781942395617
103,4,0.525,0.325,0.5304437564499487,0.3921568627450978,0.10385573178123644,0.2296271746013869,True,0.2640583365250013
104,4,0.525,0.275,0.5304437564499487,0.35947712418300637,0.10385573178123644,0.15466022996128198,True,0.22177113044698785
105,4,0.525,0.225,0.5304437564499487,0.3267973856209151,0.10385573178123644,0.09746913711481008,False,0.0
106,4,0.525,0.175,0.5304437564499487,0.281045751633987,0.10385573178123644,0.057727643509485414,False,0.0
107,4,0.525,0.125,0.5304437564499487,0.24836601307189543,0.10385573178123644,0.038772453432354886,False,0.0
108,4,0.525,0.075,0.5304437564499487,0.20915032679738593,0.10385573178123644,0.02473774639471517,False,0.0
109,4,0.525,0.025,0.5304437564499487,0.1830065359477125,0.10385573178123644,0.017933004730933934,False,0.0
110,4,0.575,0.475,0.5603715170278638,0.5620915032679737,0.14856245624244066,0.7823307908499766,False,0.0
111,4,0.575,0.425,0.5603715170278638,0.5163398692810458,0.14856245624244066,0.6295829706136047,True,0.525052162117982
112,4,0.575,0.375,0.5603715170278638,0.47058823529411753,0.14856245624244066,0.4769801306541176,True,0.4182009561454232
113,4,0.575,0.325,0.5603715170278638,0.4379084967320261,0.14856245624244066,0.35773476180583463,True,0.3316353258592317
114,4,0.575,0.275,0.5603715170278638,0.39869281045751626,0.14856245624244066,0.2339428505998741,True,0.247059100927781
115,4,0.575,0.225,0.5603715170278638,0.3529411764705882,0.14856245624244066,0.13481584981460285,False,0.0
116,4,0.575,0.175,0.5603715170278638,0.3137254901960784,0.14856245624244066,0.0862090755762491,False,0.0
117,4,0.575,0.125,0.5603715170278638,0.2745098039215687,0.14856245624244066,0.0588523740675431,False,0.0
118,4,0.575,0.075,0.5603715170278638,0.23529411764705904,0.14856245624244066,0.03892948250124177,False,0.0
119,4,0.575,0.025,0.5603715170278638,0.20915032679738593,0.14856245624244066,0.030374458813842133,False,0.0
120,4,0.625,0.475,0.5975232198142415,0.6078431372549022,0.22467190423146569,0.9125921037716802,False,0.0
121,4,0.625,0.425,0.5975232198142415,0.5686274509803922,0.22467190423146569,0.8111742077237639,True,0.6153980723261475
122,4,0.625,0.375,0.5975232198142415,0.5294117647058824,0.22467190423146569,0.6907758059850054,True,0.5342153568618989
123,4,0.625,0.325,0.5975232198142415,0.47712418300653575,0.22467190423146569,0.4577247533424587,True,0.3534518859186988
124,4,0.625,0.275,0.5975232198142415,0.4379084967320261,0.22467190423146569,0.32809607120876244,True,0.2630388900595122
125,4,0.625,0.225,0.5975232198142415,0.39869281045751626,0.22467190423146569,0.2209740589199679,False,0.0
126,4,0.625,0.175,0.5975232198142415,0.36601307189542476,0.22467190423146569,0.16015770208679606,False,0.0
127,4,0.625,0.125,0.5975232198142415,0.3202614379084966,0.22467190423146569,0.10624364401497967,False,0.0
128,4,0.625,0.075,0.5975232198142415,0.2679738562091503,0.22467190423146569,0.06493331491149035,False,0.0
129,4,0.625,0.025,0.5975232198142415,0.23529411764705904,0.22467190423146569,0.04854313388076402,False,0.0
130,4,0.675,0.475,0.6315789473684207,0.6470588235294121,0.31156755695521976,0.9543987588134468,False,0.0
131,4,0.675,0.425,0.6315789473684207,0.6078431372549022,0.31156755695521976,0.8980343847134824,True,0.6102026378717811
132,4,0.675,0.375,0.6315789473684207,0.5686274509803922,0.31156755695521976,0.8004811937711499,True,0.5518651332039586
133,4,0.675,0.325,0.6315789473684207,0.5294117647058824,0.31156755695521976,0.6506549277322953,True,0.44125455343961384
