numExp,agentBias,biasPrior,sampleMean,MAP_stick1_S1,MAP_stick2_S1,MAP_stick1_S2,MAP_stick2_S2,optProb_S1,optProb_S2,isOptMAP_S1,isOptMAP_S2
185,10.0,v,0.485,0.925,0.675,0.925,0.675,0.5,0.71,True,True
186,2.0,flat,0.655,0.825,0.625,0.875,0.825,0.11,0.12,False,True
187,2.0,v,0.385,0.475,0.525,0.225,0.525,0.12,0.040000000000000015,False,False
188,5.0,flat,0.575,0.975,0.875,0.975,0.875,0.33,0.45,True,True
189,5.0,v,0.585,0.875,0.825,0.875,0.825,0.23,0.28,True,True
190,10.0,flat,0.375,0.825,0.525,0.825,0.525,0.69,0.29999999999999993,True,True
191,10.0,v,0.43499999999999994,0.875,0.675,0.875,0.675,0.73,0.62,True,True
192,2.0,flat,0.495,0.875,0.925,0.875,0.925,0.17999999999999994,0.13,False,False
193,2.0,v,0.34500000000000003,0.875,0.275,0.275,0.425,0.15,0.11,False,False
194,5.0,flat,0.41500000000000004,0.825,0.725,0.825,0.725,0.4199999999999999,0.36,True,True
195,5.0,v,0.545,0.875,0.725,0.875,0.725,0.33,0.29999999999999993,True,True
196,10.0,flat,0.475,0.875,0.775,0.875,0.775,0.57,0.76,True,True
197,10.0,v,0.7350000000000001,0.975,0.925,0.975,0.925,0.3400000000000001,0.57,True,True
198,2.0,flat,0.545,0.975,0.575,0.975,0.575,0.10000000000000002,0.07,False,False
199,2.0,v,0.475,0.675,0.725,0.375,0.575,0.07999999999999999,0.09000000000000002,False,False
200,5.0,flat,0.605,0.975,0.925,0.925,0.975,0.26,0.29,True,False
201,5.0,v,0.195,0.575,0.175,0.175,0.575,0.52,0.15999999999999998,True,False
202,10.0,flat,0.49499999999999994,0.825,0.775,0.825,0.775,0.33,0.47,True,True
203,10.0,v,0.625,0.975,0.875,0.975,0.875,0.44,0.7,True,True
204,2.0,flat,0.585,0.825,0.975,0.825,0.975,0.12,0.15999999999999998,False,False
205,2.0,v,0.465,0.825,0.875,0.875,0.825,0.19,0.19,False,True
206,5.0,flat,0.28500000000000003,0.675,0.325,0.325,0.675,0.47,0.07,True,False
207,5.0,v,0.5349999999999999,0.925,0.825,0.925,0.825,0.35,0.45,True,True
208,10.0,flat,0.7250000000000001,0.975,0.925,0.975,0.925,0.22,0.31,True,True
209,10.0,v,0.625,0.975,0.775,0.975,0.775,0.3400000000000001,0.78,True,True
210,2.0,flat,0.335,0.675,0.375,0.225,0.375,0.14,0.09000000000000002,True,False
211,2.0,v,0.425,0.675,0.775,0.775,0.675,0.11,0.11,False,True
212,5.0,flat,0.5050000000000001,0.775,0.825,0.825,0.775,0.29999999999999993,0.29,False,True
213,5.0,v,0.445,0.975,0.775,0.975,0.775,0.46,0.59,True,True
214,10.0,flat,0.305,0.675,0.475,0.475,0.675,0.79,0.06,True,False
215,10.0,v,0.605,0.975,0.725,0.975,0.725,0.47,0.75,True,True
216,2.0,flat,0.425,0.525,0.675,0.525,0.675,0.12,0.09000000000000002,False,False
217,2.0,v,0.575,0.675,0.875,0.625,0.875,0.09000000000000002,0.10000000000000002,False,False
218,5.0,flat,0.525,0.925,0.825,0.925,0.825,0.44,0.43,True,True
219,5.0,v,0.595,0.775,0.875,0.875,0.775,0.15,0.19,False,True
220,10.0,flat,0.5449999999999999,0.875,0.675,0.875,0.675,0.4199999999999999,0.67,True,True
221,10.0,v,0.595,0.875,0.825,0.875,0.825,0.41,0.38,True,True
222,2.0,flat,0.44499999999999995,0.825,0.675,0.225,0.825,0.17,0.12,True,False
