param,val,prob
J1agentBias,6.926265776219986,0.0001
J1agentBias,6.9298487739716625,0.0001
J1agentBias,6.9304094458372125,0.0001
J1agentBias,6.930779719481404,0.0001
J1agentBias,6.931988230860608,0.0002
J1agentBias,6.932303669539033,0.0001
J1agentBias,6.933894342092815,0.00030000000000000003
J1agentBias,6.936226541663224,0.0001
J1agentBias,6.9415459406554305,0.0001
J1agentBias,6.9425787777657995,0.0001
J1agentBias,6.944085776492747,0.0001
J1agentBias,6.944780562350422,0.0007
J1agentBias,6.9454238008878,0.0001
J1agentBias,6.946539751966229,0.0001
J1agentBias,6.948168723838666,0.0001
J1agentBias,6.948218619845036,0.0001
J1agentBias,6.949169316839561,0.0001
J1agentBias,6.950049328174693,0.0001
J1agentBias,6.950136849000696,0.0002
J1agentBias,6.952807769144663,0.0001
J1agentBias,6.9532325075957395,0.00030000000000000003
J1agentBias,6.953952463088521,0.0001
